S. No,State/UT,"Women - Acts - The Immoral Traffic (Prevention) Act, 1956","Children Related - Acts - The Protection of Children from Sexual Offences Act, 2012","Children Related - Acts - The Juvenile Justice Act, 2000",Children Related - Acts - The Child Labour Act,"SCs & STs - Related Acts - The SC/ST Prevention of Atrocities Act, 1989/ 2015 against SCs","SCs & STs - Related Acts - The SC/ST Prevention of Atrocities Act, 1989/ 2015 against STs","Offences against State - Related Acts - The Prevention of Damage to Public Property Act1, 1984","Arms/Explosive - Related Acts - The Arms Act, 1959","Arms/Explosive - Related Acts - The Explosives Act, 1884","Arms/Explosive - Related Acts - The Explosive Substances Act, 1884 & 1908","IT/Intellectual Property - Related Acts - The Information Technology Act, 2000","IT/Intellectual Property - Related Acts - The Copy Right Act, 1957","IT/Intellectual Property - Related Acts - The Trade Marks Act, 1999",Economic Acts - Prevention of Corruption Act,Liquor & Narcotic Drugs - Related Acts - Prohibition Act (State),"Liquor & Narcotic Drugs - Related Acts - The Excise Act, 1944","Liquor & Narcotic Drugs - Related Acts - The Narcotic Drugs and Psychotropic Substances Act, 1985","Environment & Pollution - Related Acts - The Wildlife Protection Act, 1972","Environment & Pollution - Related Acts - The Cigarette and Other Tobacco Products Act, 2003","Foreigners & Passport - Related Acts - The Registration of Foreigners Act, 1939 and The Foreigners Act, 1946","Foreigners & Passport - Related Acts - The Passport Act, 1967","Railways - Related Acts - The Indian Railways Act, 1989","Railways - Related Acts - The Railway Property Unlawful Possession Act, 1966","Other Regulatory & Enforcement - Acts - The Indian Telegraph Act, 1988","Other Regulatory & Enforcement - Acts - The Essential Commodities Act, 1955",Other Regulatory & Enforcement - Acts - The Gambling Act,"Other Regulatory & Enforcement - Acts - The Bonded Labour System Act, 1976","Other Regulatory & Enforcement - Acts - The Bonded Labour System Act, 1976",Other Regulatory & Enforcement - Acts - Defacement of Public Property Acts (State/ Central),Other Regulatory & Enforcement - Acts - Motor Vehicle Act,Other Regulatory & Enforcement - Acts - City/Town Police Acts,Other Regulatory & Enforcement - Acts - Other State Local Acts,Other SLL Crimes,Total Cognizable SLL Crimes
1,Andhra Pradesh,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,40
2,Assam,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,56,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,67
3,Bihar,1,8,62,1,1,0,0,33,1,1,0,0,0,0,2483,0,63,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2662
4,Chhattisgarh,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,44
5,Gujarat,0,4,0,0,1,0,0,3,0,0,0,0,0,0,3332,0,25,0,0,0,0,5,0,0,0,64,0,0,0,7,0,1213,1,4655
6,Haryana,0,0,0,0,1,0,0,16,0,0,0,1,0,0,0,260,53,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,348
7,Himachal Pradesh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Jammu & Kashmir,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13
9,Jharkhand,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17
10,Karnataka,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,4,0,0,0,0,7,0,0,0,5,0,0,0,1,0,22,2,53
11,Kerala,0,1,2,0,0,0,0,0,0,0,0,0,0,0,28,0,91,0,27,0,0,2,0,0,0,0,0,0,0,0,0,607,816,1574
12,Madhya Pradesh,0,12,0,0,0,0,0,198,1,3,0,0,0,0,0,186,27,0,0,0,0,1,0,0,0,70,0,0,0,49,128,0,2,677
13,Maharashtra,0,34,2,1,0,0,1,5,0,0,0,1,0,0,56,0,1106,0,0,0,1,35,0,0,0,6,0,0,0,0,15,205,94,1562
14,Odisha,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,22
15,Punjab,0,2,0,0,1,0,0,114,0,0,0,0,0,0,0,240,176,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,549
16,Rajasthan,0,1,0,0,3,3,0,182,0,0,0,0,0,0,0,65,48,1,0,0,0,4,0,0,0,354,0,0,102,0,0,121,0,884
17,Tamil Nadu,0,9,0,0,0,0,1,0,0,1,0,0,0,0,3,0,2,0,2,0,0,32,0,0,0,0,0,0,0,0,2,40,4,96
18,Telangana,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,34,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,91
19,Tripura,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,21
20,Uttar Pradesh,0,1,0,0,2,0,0,1135,0,0,6,0,0,2,0,233,745,9,0,0,0,12,0,0,0,11,1,0,0,0,0,0,70,2227
21,Uttarakhand,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,55
22,West Bengal,0,7,0,0,0,0,2,15,0,1,0,1,0,0,0,50,19,8,0,106,0,0,0,0,0,1,0,0,0,0,0,0,2,212
23,Delhi,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40
Total All India,Total All India,1,89,95,2,11,3,7,1735,2,10,8,3,0,2,5902,1115,2522,23,29,111,4,123,0,0,0,560,1,1,102,57,145,2208,1039,15910
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
